的	白勺
癌	疒山
泵	石水
捷	扌疌
妆	丬女
彼	彳皮
适	辶舌
泛	氵乏
瘤	疒留
龚	龙共
盯	目丁
纵	纟从
默	黑犬
忌	己心
炖	火屯
逾	辶俞
绣	纟秀
悬	县心
宰	宀辛
埃	土矣
罐	缶艹
奈	大示
洒	氵西
叻	口力
伏	亻犬
鼎	目s
幼	幺力
莹	艹玉
旋	方r
刑	开刂
囊	十k
担	扌旦
粘	米占
触	角虫
踏	足沓
牢	宀牛
帽	巾冒
妃	女己
煎	前灬
频	步页
昭	日召
拥	扌用
巷	共巳
犹	犭尤
弘	弓厶
扛	扌工
揭	扌日
裸	衤果
柏	木白
账	贝长
霸	雨革
啵	口波
僧	亻曾
摊	扌难
掐	扌n
突	穴犬
蓉	艹容
蕾	艹雷
扛	扌工
揭	扌日
裸	衤果
柏	木白
账	贝长
霸	雨革
啵	口波
僧	亻曾
摊	扌难
掐	扌n
突	穴犬
蓉	艹容
蕾	艹雷
彪	虎彡
揍	扌奏
壹	士豆
毅	亠殳
罩	罒卓
拒	扌巨
淋	氵林
赠	贝曾
警	言敬
逐	辶豕
痕	疒艮
歇	日欠
迁	辶千
钩	钅勾
扮	扌分
祸	礻呙
淑	氵叔
逐	辶豕
痕	疒艮
歇	日欠
迁	辶千
钩	钅勾
扮	扌分
祸	礻呙
淑	氵叔
裂	衣列
渝	氵俞
颈	乛页
昆	日比
涅	氵日
喻	口俞
忆	忄乙
嘞	口勒
朕	月关
惯	忄田
氧	气羊
仕	亻士
境	土竟
棍	木昆
律	彳聿
恰	忄合
斋	文而
惜	忄昔
坪	土平
姆	女母
浦	氵甫
稀	禾希
拓	扌石
裙	衤君
吞	天口
虐	虍彐
芸	艹云
疏	𤴔㐬
叠	且又
劫	去力
颠	真页
郁	有阝
锌	钅辛
砂	石少
沾	氵占
邮	由阝
翘	尧羽
穗	禾惠
涌	氵甬
株	木朱
潜	氵替
聪	耳总
陵	阝夌
糊	米胡
谓	讠胃
壶	士业
媚	女眉
饶	饣尧
庚	广人
慕	艹小
坦	土旦
咖	口加
寨	宀朩
繁	糸敏
搓	扌差
蚊	虫文
监	皿丨
霖	雨林
绍	纟召
遥	辶䍃
牧	牜攵
验	马佥
楠	木南
吟	口今
裴	非衣
缠	纟广
哉	g口
郁	有阝
锌	钅辛
砂	石少
沾	氵占
邮	由阝
翘	尧羽
穗	禾惠
涌	氵甬
株	木朱
潜	氵替
聪	耳总
陵	阝夌
糊	米胡
谓	讠胃
壶	士业
媚	女眉
饶	饣尧
庚	广人
慕	艹小
坦	土旦
咖	口加
寨	宀朩
繁	糸敏
搓	扌差
蚊	虫文
监	皿丨
霖	雨林
绍	纟召
遥	辶䍃
牧	牜攵
验	马佥
楠	木南
吟	口今
裴	非衣
缠	纟广
哉	g口
齿	止凵
浇	氵尧
朋	月月
庞	广龙
惟	忄隹
拾	扌合
膏	高月
坝	土贝
锐	钅兑
筒	⺮同
敷	甫攵
喵	口苗
涉	氵步
粪	米共
挪	扌那
署	罒者
拧	扌宁
阮	阝元
佬	亻老
储	亻诸
碳	石炭
荡	艹汤
炭	山灰
桩	木庄
趴	足八
蹲	足尊
遮	辶庶
戳	翟戈
纱	纟少
崇	山宗
钦	钅欠
瑶	王䍃
赋	贝武
奎	大圭
渠	木氵
仇	亻九
盲	亡目
坎	土欠
蹦	足崩
崩	山朋
庶	广灬
扩	扌广
跃	足夭
杭	木亢
钉	钅丁
趣	走取
臂	月辟
泼	氵发
幕	莫巾
邢	开阝
筹	⺮寿
棚	木朋
焊	火旱
禅	礻单
岚	山风
拌	扌半
疾	疒矢
裕	衤谷
滨	氵宾
筋	⺮肋
栽	g木
趋	走刍
蠢	春虫
卦	圭卜
旱	日干
肋	月力
砷	石申
镓	钅家
臭	自犬
宣	宀亘
姬	女匚
尖	八大
伍	亻五
邵	召阝
酶	酉每
谋	讠某
穆	禾白
垫	土执
暂	日斩
腻	月贰
贰	弋贝
斩	车斤
兜	c白
苯	艹本
卧	臣卜
阻	阝且
咒	几口
琦	王奇
绳	纟黾
耿	耳火
贫	分贝
阅	门兑
铃	钅令
撕	扌斯
艘	舟叟
浆	水丬
竞	立兄
靖	立青
搅	扌觉
珊	王册
笼	⺮龙
倚	亻奇
痰	疒炎
舰	舟见
缸	缶工
妇	女彐
帆	巾凡
炫	火玄
狐	犭瓜
徒	彳走
植	木直
姻	女因
释	采又
拣	扌东
赐	贝易
脂	月旨
秘	禾必
佑	亻右
鲍	鱼包
沃	氵夭
袖	衤由
述	辶术
姨	女夷
啸	口肃
硅	石圭
杖	木丈
旨	匕日
焉	正s
捅	扌甬
芽	艹牙
倩	亻青
筑	⺮巩
姿	女次
傲	亻敖
径	彳乛
邻	令阝
激	氵白
咦	口夷
雕	周隹
铅	钅几
姑	女古
桐	木同
捂	扌吾
踹	足山
辩	辛讠
舱	舟仓
幢	巾童
覆	覀彳
潭	氵覃
覃	覀早
钠	钅内
拦	扌兰
恤	忄血
煲	火保
糟	米曹
轰	车又
阎	门n
脆	月危
燃	火然
凸	丨s
凹	丨s
龄	齿令
锤	钅垂
窜	穴串
鞍	革安
痴	疒知
孕	乃子
瑟	必王
茹	艹如
搁	扌阁
缴	纟白
驱	马区
熏	千黑
滩	氵难
搂	扌娄
织	纟只
磷	石米
浸	氵彐
咏	口永
阶	阝介
衡	彳n
驾	马加
哀	亠𧘇
昊	日天
辅	车甫
鄂	咢阝
谦	讠兼
窑	穴缶
蒲	艹浦
晖	日军
屌	尸吊
硕	石页
泻	氵写
屡	尸娄
涩	氵刃
择	扌又
灾	宀火
碑	石卑
丛	一人
柄	木丙
樱	木婴
揽	扌览
奸	女干
俩	亻两
竖	立丨
措	扌昔
眠	目民
婉	女宛
薰	艹熏
婴	女贝
麟	鹿米
磁	石兹
坠	土队
揪	扌秋
禄	礻录
侃	亻口
娅	女亚
咽	口因
仗	亻丈
瑜	王俞
畅	申j
碱	石咸
逝	辶折
肚	月土
阀	门伐
攀	手木
皱	刍皮
宴	宀女
瘾	疒隐
跪	足危
唤	口奂
奂	n央
途	辶余
鞭	革便
狄	犭火
勋	员力
辽	辶了
瓷	瓦次
帘	穴巾
谜	讠迷
厉	厂万
磅	石旁
闸	门甲
瞄	目苗
裁	g衣
娥	女我
宪	宀先
扒	扌八
沁	氵心
崖	山厓
刊	干刂
迹	辶亦
霉	雨每
乾	𠦝乞
氮	气炎
傍	亻旁
葬	艹廾
钧	钅匀
喘	口耑
詹	厃言
骆	马各
闫	门三
楞	木罒
授	扌受
辨	辛丨
嚼	口爵
拎	扌令
虞	虍吴
爵	爫艮
遗	辶贵
披	扌皮
阔	门活
媛	女爰
坟	土文
剥	录刂
岂	山己
悠	心攸
塌	土日
卸	𦈢卩
愚	禺心
攸	亻丨
喉	口候
窦	穴卖
狮	犭师
藕	艹耦
垮	土夸
怜	忄令
拱	扌共
慈	兹心
脾	月卑
氢	气乛
溶	氵容
巢	巛果
抚	扌无
焕	火奂
廉	广兼
燥	火木
泄	氵世
钾	钅甲
橙	木登
颂	公页
铲	钅产
栓	木全
睿	上目
堤	土是
枯	木古
暮	莫日
堪	土甚
冤	冖兔
篮	⺮监
抠	扌区
酥	酉禾
巫	工人
雀	少隹
裹	亠𧘇
劈	刀辟
骏	马夋
畔	田半
灿	火山
芒	艹亡
灶	火土
杏	木口
腐	府肉
冥	冖六
绘	纟会
筱	⺮攸
蜀	罒勹
渔	氵鱼
醇	酉享
袭	龙衣
薪	艹新
婕	女疌
梳	木㐬
黛	黑代
孰	享丸
瞪	目登
铸	钅寿
茨	艹次
轨	车九
拂	扌弗
搏	扌尃
驰	马也
豹	豸勺
蜡	虫昔
渊	氵h
荤	艹军
蒜	艹示
皓	白告
戚	戊尗
际	阝示
弊	廾敝
嫂	女叟
馅	饣n
茅	艹矛
叁	厶三
枣	朿丶
曦	日羲
棵	木果
澄	氵登
羲	羊丿
飙	犬风
鉴	金丨
嗦	口索
誓	言折
塑	土朔
耕	耒井
炳	火丙
朴	木卜
敦	享攵
瞳	目童
羞	羊丑
稻	禾舀
彤	丹彡
笛	⺮由
媒	女某
恭	共小
冀	異北
匹	匚儿
祁	礻阝
蜂	虫夆
眺	目兆
渴	氵日
妾	立女
沐	氵木
估	亻古
仰	亻c
忒	弋心
滥	氵监
嘘	口虚
辈	车非
弥	弓尔
朔	屰月
舀	爫臼
糸	幺小
钛	钅太
丧	十𧘇
捕	扌甫
磕	石去
陀	卩它
煞	灬刍
沧	氵仓
努	力奴
茎	艹乛
呸	口丕
汽	氵气
炜	火韦
溅	氵贱
蕊	艹心
梗	木更
闵	门文
捣	扌岛
屠	尸者
氨	气安
玮	王韦
翅	支羽
氯	气录
叙	余又
惑	或心
奕	亦大
氟	气弗
呦	口幼
豫	予象
荆	艹刂
撇	扌敝
络	纟各
胀	月长
详	讠羊
瓣	辛瓜
迥	辶冂
淮	氵隹
蓬	艹逢
况	冫兄
浙	氵折
掘	扌屈
溢	氵益
挫	扌坐
梓	木辛
巡	辶巛
慎	忄真
绮	纟奇
逮	辶隶
徽	彳山
瞒	目艹
谨	讠廿
葵	艹癸
寇	宀元
舜	爫夕
绵	纟帛
匪	匚非
佟	亻冬
昕	日斤
苔	艹台
翰	𠦝人
荐	艹存
蹬	足登
墩	土敦
晾	日京
貌	豸白
茜	艹西
耻	耳止
觅	爫见
硫	石㐬
闽	门虫
纲	纟冈
诱	讠秀
侵	亻彐
哑	口亚
抑	扌c
掰	手分
削	肖刂
寝	宀丬
蔚	艹尉
迦	辶加
颤	亶页
掂	扌店
淤	氵方
痣	疒志
捆	扌困
腕	月宛
贡	工贝
猎	犭昔
澜	氵阑
阑	门柬
尉	尸寸
污	氵亏
援	扌爰
掀	扌欣
泳	氵永
逊	辶孙
萱	艹宣
臀	月殿
俏	亻肖
愣	忄罒
娱	女吴
矫	矢乔
悔	忄每
挠	扌尧
玫	王攵
蓄	艹畜
镁	钅美
绊	纟半
瑛	王英
循	彳盾
侍	亻寺
概	木既
馋	饣免
绪	纟者
妥	爫女
甄	西瓦
汀	氵丁
颐	匚页
唆	口夋
掩	扌奄
畜	玄田
奄	大电
垒	土厶
呕	口区
酮	酉同
钰	钅玉
菁	艹青
胤	丿幺
蛙	虫圭
璇	王旋
畴	田寿
茗	艹名
芙	艹夫
蘸	艹酉
窍	穴巧
梯	木弟
雇	户隹
茵	艹因
瞅	目秋
庵	广奄
勃	孛力
糕	米羔
诀	讠夬
夬	乛人
羔	羊灬
锭	钅定
沥	氵历
欺	其欠
菱	艹夌
碘	石典
莎	艹沙
雌	此隹
膝	月木
侨	亻乔
籽	米子
峡	山夹
酿	酉良
眨	目乏
泊	氵白
隋	阝左
绒	纟戎
臻	至秦
衬	衤寸
胺	月安
秉	千八
僵	亻一
杉	木彡
祛	礻去
纽	纟丑
伽	亻加
迫	辶白
掺	扌参
斐	文非
岑	山今
玖	王久
遣	辶虫
陡	阝走
贩	贝反
夌	土夂
溟	氵冥
萝	艹罗
滞	氵带
镶	钅襄
蕴	艹纟
仨	亻三
嫖	女票
冶	冫台
嗜	口老
厌	厂犬
肆	镸聿
淳	氵享
嗒	口艹
璐	王路
叽	口几
黔	黑今
摁	扌恩
禽	人冂
彻	彳切
魁	鬼斗
嵌	山甘
疗	疒了
椅	木奇
廊	广郎
袍	衤包
滋	氵兹
焰	火n
挽	扌免
稠	禾周
睁	目争
髓	骨辶
栗	覀木
呛	口仓
札	木乚
呜	口乌
螺	虫累
渗	氵参
纬	纟韦
魅	鬼未
笋	⺮尹
涯	氵厓
晏	日安
靳	革斤
桓	木亘
诊	讠㐱
描	扌苗
瑾	王廿
藻	艹澡
蚕	天虫
捻	扌念
沽	氵古
刨	包刂
沫	氵末
镍	钅自
寂	宀叔
襄	亠𧘇
慰	心尉
芦	艹户
叮	口丁
厨	厂豆
芷	艹止
寡	宀刀
踪	足宗
荫	艹阴
祠	衤司
矩	矢巨
嗅	口臭
雍	亠乡
嫣	女焉
募	莫力
榕	木容
裔	衣冂
袄	衤夭
秤	禾平
杠	木工
肏	入肉
钮	钅丑
役	彳殳
烙	火各
贸	贝c
窥	穴规
契	大丰
疆	弓一
裘	求衣
眸	目牟
簿	⺮溥
淹	氵奄
贬	贝乏
浊	氵虫
盏	戋皿
拴	扌全
棠	v呆
劣	少力
屄	尸穴
芹	艹斤
沛	氵巿
泣	氵立
殊	歹朱
箫	⺮肃
琛	王罙
椰	木耶
驶	马史
瞬	目舜
履	尸彳
崽	山思
蚀	饣虫
噪	口木
誉	兴言
皖	白完
析	木斤
婧	女青
庸	广肀
倦	亻卷
芭	艹巴
陕	阝夹
撩	扌尞
熔	火容
湛	氵甚
祈	礻斤
恼	忄亠
邑	口巴
腺	月泉
肤	月夫
掷	扌郑
毫	亠毛
厢	厂相
洽	氵合
烨	火华
靴	革化
珂	王可
滇	氵真
铬	钅各
衍	彳氵
衔	彳钅
督	目叔
浑	氵军
嬲	男女
奋	大田
艇	舟廷
痘	疒豆
瞥	目敝
簇	⺮族
酚	酉分
砌	石切
蝉	虫单
腌	月奄
梵	凡林
苇	艹韦
晟	日成
膊	月尃
茬	艹在
祺	礻其
堕	土阝
桦	木华
涮	氵刷
胞	月包
筛	⺮师
霄	雨肖
掠	扌京
伙	亻火
揣	扌耑
障	阝章
棺	木官
纤	纟千
淌	氵尚
匠	匚斤
询	讠旬
酯	酉旨
剃	弟刂
剁	朵刂
妄	亡女
恁	心任
牟	厶牛
娴	女闲
肽	月太
栈	木戋
厘	厂里
肘	月寸
曝	日暴
驳	马爻
澈	氵育
狱	犭讠
粟	覀米
搽	扌茶
飚	风火
脓	月农
屑	尸肖
皂	白七
涧	氵间
扳	扌反
绞	纟交
汞	二水
烛	火虫
绢	纟肙
毓	每㐬
埠	土阜
淇	氵其
佘	人示
刹	杀刂
遵	辶尊
卤	上乂
憨	心敢
羹	糕美
鳖	鱼敝
赣	章夂
唷	口育
斧	父斤
柒	木氵
弩	弓奴
筐	⺮匡
违	辶韦
菇	艹姑
撰	扌巽
棱	木夌
甭	不用
纺	纟方
剖	立刂
坨	土它
址	土止
瞿	隹目
舅	臼男
疤	疒巴
潇	氵萧
梢	木肖
哨	口肖
蚁	虫义
窃	穴切
卞	亠卜
秃	禾几
瞟	目票
拢	扌龙
碍	石日
寓	宀禺
蛤	虫合
辱	辰寸
凋	冫周
滤	氵虑
愤	忄贲
啪	口拍
励	厉力
镑	钅旁
虑	虍心
槐	木鬼
霆	雨廷
谂	讠念
妓	女支
眯	目米
诛	讠朱
侣	亻吕
崎	山奇
煜	火昱
蝇	虫黾
腥	月星
鸽	合鸟
蛆	虫且
砚	石见
锯	钅居
阙	门屰
诵	讠甬
泓	氵弘
噗	口业
缀	纟又
懿	壹心
焖	火闷
谛	讠帝
苹	艹平
嘟	口都
煌	火皇
缕	纟娄
弧	弓瓜
嗟	口差
缪	纟翏
巽	共巳
钵	钅本
捶	扌垂
椒	木叔
粽	米宗
拙	扌出
耸	耳从
钝	钅屯
陌	阝百
蛾	虫我
栖	木西
鸦	牙鸟
黏	黍占
艹	一丨
蹄	足帝
尬	尢介
茄	艹加
彰	章彡
韧	韦刃
酬	酉州
铀	钅由
脊	人月
翎	令羽
瀚	氵翰
楷	木皆
锥	钅隹
昼	尺旦
鞠	革勹
锰	钅孟
凿	业凵
茧	艹虫
敛	佥攵
歼	歹千
擒	扌禽
疮	疒仓
峪	山谷
俭	亻佥
淼	水水
胚	月丕
羡	羊次
鳞	鱼米
涓	氵肙
惧	忄具
撬	扌毛
釉	采由
纶	纟仑
昧	日未
锈	钅秀
睬	目采
绯	纟非
犁	牛利
喏	口若
驿	马又
漾	氵羊
莺	艹鸟
橘	木矛
纠	纟丩
竿	⺮干
郊	交阝
褐	衤日
糙	米造
桔	木吉
甸	勹田
殇	歹r
猿	犭袁
冢	冖豕
旷	日广
辊	车昆
魄	白鬼
纷	纟分
璧	玉辟
遁	辶盾
啼	口帝
笙	⺮生
烹	亨灬
喀	口客
韶	音召
娣	女弟
姝	女朱
嗣	口司
馀	饣余
腮	月思
铮	钅争
藉	艹耒
衷	亠𧘇
厦	厂夏
盔	灰皿
辖	车害
镖	钅票
鸥	区鸟
挟	扌夹
哗	口华
钗	钅叉
枉	木王
钞	钅少
迭	辶失
麓	鹿林
鲸	鱼京
喧	口宣
筝	⺮争
嗷	口敖
曜	日翟
诏	讠召
漠	氵莫
梭	木夋
垢	土后
恕	心如
轿	车乔
芮	艹内
栾	亦木
钳	钅甘
嚷	口襄
捎	扌肖
褪	衤退
肇	聿户
苞	艹包
宵	宀肖
镀	扌度
驼	马它
邬	乌阝
焱	火火
癖	疒辟
巍	山魏
毙	死比
庐	广户
叩	口卩
珏	王玉
爻	乂乂
嗔	口真
诈	讠乍
無	r灬
鸾	亦鸟
孽	艹子
饥	饣几
蕙	艹惠
絮	糸如
豁	害谷
褚	衤者
岱	山代
瀑	氵暴
括	扌舌
俯	亻府
摞	扌累
灏	氵景
骄	马乔
婶	女审
偿	亻尝
炯	火冂
硪	石我
岐	山支
堰	土匚
祯	礻贞
悼	忄卓
骤	马聚
匣	匚甲
渍	氵责
窟	穴屈
汶	氵文
荃	艹全
檀	木亶
焚	火林
谏	讠柬
韬	韦舀
浣	氵完
檐	木詹
藩	艹潘
钊	钅刂
唑	口坐
靶	革巴
榆	木俞
嚎	口豪
瓢	票瓜
擅	扌亶
鹭	鸟路
肢	月支
懵	忄艹
灼	火勺
坯	土丕
玺	尔玉
桢	木贞
玻	王皮
倘	亻尚
胥	乛月
仟	亻千
嵩	山高
摧	扌崔
谊	讠宜
仆	亻卜
尻	尸九
溴	灬臭
褒	亠𧘇
睛	目青
黯	黑音
鬓	宾镸
溃	氵贵
擎	手敬
怔	忄正
躁	足木
聋	龙耳
噜	口鲁
颁	分页
涝	氵劳
谎	讠荒
璋	王章
俐	亻利
钒	钅凡
圹	土广
谣	讠䍃
躬	身弓
沸	氵弗
疲	疒皮
蛊	虫皿
铂	钅白
脖	月孛
硒	石西
昱	日立
裡	衤里
嘀	口啇
葡	艹匍
匍	勹甫
毋	一丿
睹	目者
伶	亻令
裳	尚衣
垣	土亘
扼	扌厄
阉	门奄
遛	辶留
笃	⺮马
哆	口多
霁	雨齐
趾	足止
濑	氵赖
箍	⺮扌
瘫	疒难
痔	疒寺
洼	氵圭
烘	火共
钨	钅乌
瘀	疒於
隙	阝小
囡	口女
馍	饣莫
榨	木窄
辜	古辛
捋	扌爫
饵	饣耳
碾	石展
葆	廿保
缅	纟面
噤	口禁
蹿	足窜
麒	鹿其
癫	疒颠
蝎	虫日
戟	𠦝戈
鞘	革肖
椎	木隹
盅	中皿
襟	衤禁
胁	月办
拭	扌式
瘪	疒仑
绛	纟夅
铵	钅安
轶	车失
囚	口人
贻	贝台
昵	日尼
锚	钅苗
蓓	廿倍
宸	宀辰
铎	钅又
缚	纟甫
谐	讠皆
晔	日华
殴	区殳
钼	钅目
贮	贝宀
愧	忄鬼
涡	氵呙
樵	木焦
恬	忄舌
脐	月齐
稚	禾隹
岔	分山
嗄	口夏
丞	了一
翊	立羽
熵	火商
坞	土乌
玥	王月
硝	石肖
熄	火息
恺	忄岂
珉	王民
腊	月昔
怯	忄去
倭	亻委
跺	足朵
渭	氵胃
赎	贝卖
陇	阝龙
绸	纟周
邝	广阝
坂	土反
瘸	疒肉
饲	饣司
践	足戋
屿	山与
瞻	目詹
湝	氵皆
械	木戒
嘻	口喜
绫	纟夌
虱	乁丿
勉	免力
荔	艹力
寰	宀哀
绰	纟卓
痞	疒否
仄	厂人
肛	月工
竭	立日
踱	足度
啄	口豕
禧	礻喜
炕	火亢
泠	氵令
瘟	疒日
荼	艹余
荻	艹犭
缆	纟览
蔓	艹曼
漪	氵犭
匿	匚若
匝	匚巾
晤	日吾
疫	疒殳
厕	厂则
驮	马大
冼	冫先
窖	穴告
蔫	艹焉
骥	马冀
祀	礻巳
睦	目土
笺	⺮戋
暑	日者
咚	口冬
凳	登几
莞	艹完
枭	鸟木
倔	亻屈
鸠	九鸟
剔	易刂
樽	木尊
颊	夹页
礁	石焦
霓	雨兒
丶	丶
渚	氵者
婵	女单
讷	讠内
喆	吉吉
蒿	艹高
歆	音欠
噎	口壹
渺	氵目
涤	氵条
寮	宀尞
撼	扌感
炽	火只
町	田丁
抿	扌民
琨	王昆
茸	艹耳
烯	火希
噬	口⺮
搔	扌蚤
妒	女户
雏	刍隹
糠	米康
漱	氵束
嘲	口朝
薯	艹署
峥	山争
缇	纟是
萎	艹委
仂	亻力
憎	忄曾
粹	米卒
卟	口卜
歉	兼欠
胰	月夷
悍	忄旱
秧	禾央
蕉	艹焦
彝	彑廾
糯	米需
鲨	鱼沙
歧	止支
憾	忄感
谬	讠㐱
驹	马句
涕	氵弟
寐	宀爿
撵	扌辇
蒽	艹恩
荀	艹旬
绾	纟官
獒	犬敖
奢	大者
弛	弓也
夯	大力
溯	氵朔
璞	王业
狭	犭夹
拈	扌占
叛	半反
莽	艹廾
绷	纟朋
窘	穴君
內	冂入
绩	纟责
疣	疒尤
靡	麻非
桨	木丬
麼	麻幺
鳍	鱼老
勘	甚力
泗	氵四
拘	扌句
辙	车育
辇	车夫
抡	扌伦
汐	氵夕
锄	钅助
谅	讠京
剌	束刂
汲	氵及
墅	土野
簪	⺮日
暇	日卩
啤	口卑
舵	舟它
隅	阝禺
忻	忄斤
叭	口八
瀛	氵赢
琐	王v
丿	丿
苓	艹令
杵	木午
逍	辶肖
栅	木册
眩	目玄
棘	朿朿
硼	石朋
枢	木区
筠	⺮均
厥	厂屰
绥	纟妥
醛	酉荃
辫	辛纟
诞	讠延
姣	女交
羌	羊人
凛	冫禀
禀	亠示
珀	王白
娼	女昌
悄	忄肖
笠	⺮立
毗	田比
逞	辶呈
镉	钅一
癣	疒鲜
锂	钅里
糜	麻米
炙	夕火
咔	口卡
琰	王炎
圃	口甫
唠	口劳
凄	冫妻
姗	女册
沼	氵召
啧	口责
毯	毛炎
颓	秃页
琅	王良
颅	卢页
匙	是匕
梧	木吾
皋	白本
骊	马丽
唬	口虎
虏	虍力
萃	艹卒
螨	虫艹
疹	疒㐱
疝	疒山
稼	禾家
茫	艹氵
怂	心从
撅	扌厥
钴	钅古
晗	日含
孜	子攵
煨	火畏
柚	木由
弈	亦廾
毡	毛占
骇	马亥
蔽	艹敝
骞	宀马
鹃	肙鸟
恃	忄寺
综	纟宗
偕	亻皆
旻	日文
翡	羽非
馥	香复
凰	几皇
哌	口p
炊	火欠
诃	讠可
垄	龙土
樟	木章
莘	艹辛
骁	马尧
苛	艹可
磐	石般
瓮	公瓦
咂	口匝
挎	扌夸
珑	王龙
霏	雨非
犀	尸牛
罡	罒正
濮	氵亻
貂	豸召
滔	氵舀
熳	火曼
炬	火巨
攥	扌纂
柑	木甘
闺	门圭
囤	口屯
眷	丷目
舆	丿车
竺	⺮二
狸	犭里
洙	氵朱
吱	口支
邸	氐阝
谗	讠免
灬	灬
惩	心征
觞	角r
泾	氵乛
膳	月善
搀	扌免
轧	车乚
瘘	疒娄
嬉	女喜
椿	木春
髻	吉镸
秽	禾岁
矶	石几
沅	氵元
啖	口炎
锣	钅罗
吥	口不
戆	心章
躯	身区
滢	氵莹
濠	氵豪
锻	钅段
裆	衤当
旌	方r
暧	日爱
灞	氵霸
恪	丬各
畦	田圭
胯	月夸
弼	弓百
痹	疒丌
啜	口又
醚	酉迷
癸	癶天
禛	礻真
锺	钅重
摹	莫手
茉	艹末
酣	酉甘
腚	月定
蓟	艹鱼
吠	口犬
匾	匚扁
氰	r青
锛	钅奔
痂	疒加
妤	女予
羚	羊令
隽	乃隹
铠	钅岂
豚	月豕
璃	王离
墟	土虚
膘	月票
嫔	女宾
孓	了乀
抒	扌予
锕	钅阿
蹙	戚足
潞	氵路
蛹	虫甬
镭	钅雷
嘱	口属
峦	亦山
斟	甚斗
芋	艹于
骅	马华
湄	氵眉
鲤	鱼里
纂	算糸
煦	灬日
柿	木市
珺	王君
澎	氵彭
蜷	虫卷
酌	酉勺
濂	氵廉
煽	火扇
吮	口允
垛	土朵
蛟	虫交
渤	氵勃
顽	元页
骐	马其
芜	艹无
璟	王景
揩	扌皆
吁	口于
琉	王㐬
涔	氵岑
噌	口曾
糗	米臭
汕	氵山
缎	纟段
苘	艹冂
擂	扌雷
槌	木追
嗳	口爱
柠	木宁
徙	彳止
艰	又艮
拗	扌幼
崴	山威
蔷	艹啬
鸢	戈鸟
晦	日每
砰	石平
缨	纟婴
佣	亻用
铛	钅当
珈	王加
囿	口有
恍	忄光
褶	衤日
埔	土甫
啬	土回
嗡	口翁
粱	米氵
磬	石声
筷	⺮快
嗑	口去
漳	氵章
绚	纟旬
聆	耳令
泯	氵民
谕	讠俞
蔗	艹庶
昀	日匀
讼	讠公
峨	山我
檬	木蒙
侄	亻至
涟	氵连
沂	氵斤
侦	亻贞
廓	广郭
曙	日署
嗓	口桑
萦	艹糸
掳	扌虏
蔺	艹门
呱	口瓜
铨	钅全
鹊	昔鸟
沓	水日
踮	足店
辄	车耳
诡	讠危
犟	牛强
熹	喜灬
呷	口甲
郴	林阝
倡	亻昌
佯	亻羊
蕃	艹番
忄	忄
撂	扌田
沦	氵伦
礻	礻
罔	冂丷
吭	口亢
弑	杀式
厮	厂斯
橱	木厨
壤	土襄
壑	土睿
狙	犭且
咀	口且
赦	赤攵
灸	久火
烷	火完
嬴	亡月
橡	木象
蚌	虫丰
锝	钅日
菡	艹函
鄢	焉阝
咎	口处
懈	忄解
莓	艹每
剐	呙刂
孬	不好
讳	讠韦
箐	⺮青
骶	骨氐
烽	火夆
姊	女𠂔
庇	广比
垦	艮土
愉	忄俞
篱	⺮离
濡	氵需
沣	氵丰
飒	立风
钜	钅巨
蟒	虫莽
釜	父王
珞	王各
唰	口刷
烁	火乐
睑	目佥
咕	口古
懋	心木
坳	土幼
珅	王申
榭	木射
敞	尚攵
篷	⺮逢
膨	月彭
牡	牜土
簧	⺮黄
喈	口皆
焙	火立
膛	月堂
犊	牜卖
恢	忄灰
迩	辶尔
呤	口令
铐	钅考
棣	木隶
栎	木乐
牠	牜也
杞	木己
厶	厶
祢	礻尔
萤	艹忠
砣	石它
坷	土可
扈	户邑
慨	忄既
烩	火会
铉	钅玄
跋	足发
鳌	鱼敖
芊	艹千
掬	扌勹
鳃	鱼思
僚	亻尞
隘	阝益
氵	氵
惫	备心
驭	马又
篆	⺮彑
嘶	口斯
彡	彡
颦	卑频
桀	木夕
郢	呈阝
鄙	口阝
彐	彐
驯	马川
畸	田奇
陋	阝丙
汾	氵分
钡	钅贝
叨	口刀
隼	十隹
噩	王口
徵	彳山
阚	门敢
馊	饣叟
榻	木日
宕	宀石
烃	火乛
袂	衤夬
哺	口甫
渥	氵屋
瑰	王鬼
鼬	鼠由
朽	木丂
馈	饣贵
宦	宀臣
乂	乂
捺	扌奈
钥	钅月
伢	亻牙
祚	礻乍
耘	耒云
冕	日免
遐	辶卩
嘈	口曹
彳	彳
酰	酉先
舫	舟方
刎	勿刂
僻	亻辟
嚣	口口
屙	尸阿
鳄	鱼咢
佚	亻失
篓	⺮娄
伎	亻支
敕	束攵
诲	讠每
嗖	口叟
宀	宀
俪	亻丽
瑕	王卩
喳	口查
筵	⺮延
汛	氵卂
偎	亻畏
挚	手执
蹈	足舀
燎	火尞
捍	扌旱
暄	日宣
赃	贝庄
幔	巾曼
唛	口麦
蜕	虫兑
揖	扌口
讽	讠风
缁	纟巛
颌	合页
吆	口幺
幡	巾番
谟	讠莫
秩	禾失
俑	亻甬
沏	氵切
槛	木监
吡	口比
侩	亻会
蹇	宀足
掖	扌夜
衙	彳吾
岫	山由
箩	⺮罗
绽	纟定
冂	冂
饣	饣
龋	齿禹
靛	青定
颍	匕页
淦	氵金
